2018-09-02 11:34:05,849 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-09-02 11:34:48,673 [Worker-3: Creating project "Just"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Just:Just:0.0.1-SNAPSHOT @ E:\Test_123\Just\pom.xml.
2018-09-02 11:34:50,699 [Worker-3: Creating project "Just"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Just/src/main/java
2018-09-02 11:34:50,705 [Worker-3: Creating project "Just"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Just/src/main/resources
2018-09-02 11:34:50,708 [Worker-3: Creating project "Just"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Just/src/test/java
2018-09-02 11:34:50,709 [Worker-3: Creating project "Just"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Just/src/test/resources
2018-09-02 11:34:57,874 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-02 11:34:57,901 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-02 11:34:57,906 [Worker-8: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-02 11:34:57,908 [Worker-8: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-02 11:56:17,153 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-02 11:56:17,222 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-09-02 11:56:17,289 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-02 11:56:17,291 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-02 11:56:18,798 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-02 11:56:18,800 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-02 11:56:18,804 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-02 11:56:18,806 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
